Slug,Name,URL,Category,Subcategories,Rating,Reviews,Installs,Developer,Description,Has Free Version,Icon URL,Last Updated,Scraped At
meu-frete-com-correios,Meu Frete com Correios,https://www.wix.com/app-market/web-solution/meu-frete-com-correios,eCommerce,shipping--delivery:Shipping & Delivery,3.4,45,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",The official shipping calculator from Correios,true,https://static.wixstatic.com/media/b78eef_86bbb38975ad4a25a84d022563a94e67~mv2.png/v1/fill/b78eef_86bbb38975ad4a25a84d022563a94e67~mv2.png,,2025-07-06T21:56:13.484Z
boxtal,Boxtal - Shipping solution,https://www.wix.com/app-market/web-solution/boxtal,eCommerce,shipping--delivery:Shipping & Delivery,3.4,69,,Boxtal,"Negotiated rates, without subscription.",true,https://static.wixstatic.com/media/a80ccd_fb9adadb7be34b80ae512465975c0fb4~mv2.png/v1/fill/a80ccd_fb9adadb7be34b80ae512465975c0fb4~mv2.png,,2025-07-06T21:56:13.761Z
track-order-tracking-page,Track: Order Tracking Page,https://www.wix.com/app-market/web-solution/track-order-tracking-page,Other,shipping--delivery:Shipping & Delivery,4.6,34,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Let customers track order shipments quickly,true,https://static.wixstatic.com/media/bec40d_6367b6f78ddb457f8493f5ec0e588ce3~mv2.png/v1/fill/bec40d_6367b6f78ddb457f8493f5ec0e588ce3~mv2.png,,2025-07-06T21:56:13.909Z
low-inventory-alert-by-poco,Low Inventory Alert by PoCo,https://www.wix.com/app-market/web-solution/low-inventory-alert-by-poco,eCommerce,stores:Stores,5,1,,PoCoBy Presto-Changeo14 day,Get notified when your stock levels are low,true,https://static.wixstatic.com/media/56c7a4_2dd357e4cb214520861496499d135cd2~mv2.png/v1/fill/56c7a4_2dd357e4cb214520861496499d135cd2~mv2.png,,2025-07-06T21:56:13.982Z
clickship,ClickShip – Shipping Platform,https://www.wix.com/app-market/web-solution/clickship,eCommerce,shipping--delivery:Shipping & Delivery,4,11,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Discount Multi-Carrier eCommerce Shipping Rates,true,https://static.wixstatic.com/media/20c224_97057e5b9ae746a59bc3d70f4b89a530~mv2.png/v1/fill/20c224_97057e5b9ae746a59bc3d70f4b89a530~mv2.png,,2025-07-06T21:56:14.204Z
order-desk,Order Desk,https://www.wix.com/app-market/web-solution/order-desk,Developer Tools,shipping--delivery:Shipping & Delivery,4.6,22,,Order Desk30 day,Automate your orders with 300+ integrations,true,https://static.wixstatic.com/media/3aefe5_e662e89e843d4978894d9c28230fac01~mv2.jpg/v1/fill/3aefe5_e662e89e843d4978894d9c28230fac01~mv2.jpg,,2025-07-06T21:56:14.280Z
sendcloud,Sendcloud,https://www.wix.com/app-market/web-solution/sendcloud,eCommerce,shipping--delivery:Shipping & Delivery,2.6,27,,Sendcloud,Save time on your shipping process!,true,https://static.wixstatic.com/media/695dd5_7c7fb13d75ba4c30b0ddb7dfa79cfb43~mv2.png/v1/fill/695dd5_7c7fb13d75ba4c30b0ddb7dfa79cfb43~mv2.png,,2025-07-06T21:56:14.457Z
product-discount-planner,Product Discount Planner,https://www.wix.com/app-market/web-solution/product-discount-planner,eCommerce,stores:Stores,4.4,10,,Presto-Changeo7 day,Schedule flash & holiday sales in advanced,true,https://static.wixstatic.com/media/56c7a4_cb5b89d846d14030a2bd5b369075bbc9~mv2.png/v1/fill/56c7a4_cb5b89d846d14030a2bd5b369075bbc9~mv2.png,,2025-07-06T21:56:14.538Z
orderpicking-app,OrderPicking App,https://www.wix.com/app-market/web-solution/orderpicking-app,Other,shipping--delivery:Shipping & Delivery,5,1,,Arture B.V.30 day,The Smart way of OrderPicking for iOS & Android,true,https://static.wixstatic.com/media/a96a70_d9f293964fc54a33bd51a39b2f1e6c27~mv2.jpg/v1/fill/a96a70_d9f293964fc54a33bd51a39b2f1e6c27~mv2.jpg,,2025-07-06T21:56:14.614Z
tracking-page-for-your-site,Tracking Page,https://www.wix.com/app-market/web-solution/tracking-page-for-your-site,eCommerce,shipping--delivery:Shipping & Delivery,4.2,10,,ClickApps,Integrate shipping tracking in your site easily,true,https://static.wixstatic.com/media/6b73e9_4838c88028d14e0a9977ff582699756a~mv2.png/v1/fill/6b73e9_4838c88028d14e0a9977ff582699756a~mv2.png,,2025-07-06T21:56:14.815Z
